text,Power_Failure,Battery_Charging,Display_Visual,Audio_Sound,Overheating_Thermal,Connectivity_Signal,Water_Liquid_Damage,Mechanical_Motor,Input_Controls,Software_Error,Data_Storage,Sensor_Accuracy
"I noticed my hard drive speaker muffled after water, and The hard drive data disappeared. Please help.",0,0,0,0,0,0,1,0,0,0,1,0
Gaming console has been Bluetooth won't pair lately after a recent update. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
"My smartwatch gets very hot, and Smartwatch fails to charge. I need this fixed.",0,1,0,0,1,0,0,0,0,0,0,0
"I noticed my speaker no sound, and I noticed my speaker doesnt power up. Please help.",1,0,0,1,0,0,0,0,0,0,0,0
Hard drive has been liquid damage lately right after I plugged it in.,0,0,0,0,0,0,1,0,0,0,0,0
"Laptop has been thermal throttling during use lately, and The laptop trackpad stops working.",0,0,0,0,1,0,0,0,1,0,0,0
"I noticed my phone corroded port after spill, and Phone gets very hot. I need this fixed.",0,0,0,0,1,0,1,0,0,0,0,0
My drone distorted audio.,0,0,0,1,0,0,0,0,0,0,0,0
The speaker mechanical grinding noise.,0,0,0,0,0,0,0,1,0,0,0,0
I noticed my vacuum battery overheating right after I plugged it in.,0,0,0,0,1,0,0,0,0,0,0,0
I noticed my laptop liquid damage after a recent update.,0,0,0,0,0,0,1,0,0,0,0,0
Phone data disappeared.,0,0,0,0,0,0,0,0,0,0,1,0
"The gaming console distorted audio, and The gaming console corroded port after spill.",0,0,0,1,0,0,1,0,0,0,0,0
The camera fails to start.,1,0,0,0,0,0,0,0,0,0,0,0
Monitor Bluetooth won't pair.,0,0,0,0,0,1,0,0,0,0,0,0
Thermostat has been screen fogged after water lately.,0,0,0,0,0,0,1,0,0,0,0,0
I noticed my phone motor not spinning after it fell.,0,0,0,0,0,0,0,1,0,0,0,0
Monitor has been error code on startup lately after a recent update.,0,0,0,0,0,0,0,0,0,1,0,0
My speaker has no power.,1,0,0,0,0,0,0,0,0,0,0,0
"Camera has been won't spin lately, and Camera battery swelled.",0,1,0,0,0,0,0,1,0,0,0,0
Tv has been overheats lately. Please help.,0,0,0,0,1,0,0,0,0,0,0,0
I noticed my hard drive keys are sticky and I tried restarting.,0,0,0,0,0,0,0,0,1,0,0,0
I noticed my e-scooter GPS wrong location right after I plugged it in.,0,0,0,0,0,0,0,0,0,0,0,1
My printer stuck in bootloop and I tried restarting.,0,0,0,0,0,0,0,0,0,1,0,0
I noticed my vacuum microphone not working.,0,0,0,1,0,0,0,0,0,0,0,0
I noticed my drone sensor not accurate after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
Router has been motor not spinning lately while charging.,0,0,0,0,0,0,0,1,0,0,0,0
Speaker software freezes since yesterday.,0,0,0,0,0,0,0,0,0,1,0,0
"I noticed my speaker fan runs loud constantly, and Speaker proximity sensor fails.",0,0,0,0,1,0,0,0,0,0,0,1
My smartwatch SD card not recognized while charging.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my vacuum battery drains quickly since yesterday.,0,1,0,0,0,0,0,0,0,0,0,0
"My laptop blue screen, and I noticed my laptop roller jammed. I need this fixed.",0,0,0,0,0,0,0,1,0,1,0,0
Earbuds has been temperature sensor off lately.,0,0,0,0,0,0,0,0,0,0,0,1
Hard drive has been Bluetooth won't pair lately. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
The camera dropped in water.,0,0,0,0,0,0,1,0,0,0,0,0
"I noticed my printer image is blurry, and I noticed my printer fails to start.",1,0,1,0,0,0,0,0,0,0,0,0
"My monitor mechanical grinding noise, and Monitor has been joystick drifts lately.",0,0,0,0,0,0,0,1,1,0,0,0
I noticed my fitness tracker firmware update failed. Please help.,0,0,0,0,0,0,0,0,0,1,0,0
"Phone keys are sticky, and My phone battery overheating.",0,0,0,0,1,0,0,0,1,0,0,0
"My camera makes clicking noise, and My camera mechanical grinding noise.",0,0,0,1,0,0,0,1,0,0,0,0
Laptop fan runs loud constantly and I tried restarting.,0,0,0,0,1,0,0,0,0,0,0,0
My router software freezes.,0,0,0,0,0,0,0,0,0,1,0,0
"Camera hard drive not detected, and Camera has been shuts off randomly lately.",1,0,0,0,0,0,0,0,0,0,1,0
Phone no cellular signal and it's getting worse every day.,0,0,0,0,0,1,0,0,0,0,0,0
My vacuum doesn't power up and I tried restarting.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my router corroded port after spill since yesterday.,0,0,0,0,0,0,1,0,0,0,0,0
"The drone loud grinding noise, and Drone has been won't hold charge lately. I need this fixed.",0,1,0,1,0,0,0,0,0,0,0,0
Thermostat has been Wi-Fi disconnects lately and it's getting worse every day.,0,0,0,0,0,1,0,0,0,0,0,0
Printer remote buttons don't work after it fell.,0,0,0,0,0,0,0,0,1,0,0,0
Camera has been thermal throttling during use lately after a recent update.,0,0,0,0,1,0,0,0,0,0,0,0
Vacuum sensor not accurate and it's getting worse every day.,0,0,0,0,0,0,0,0,0,0,0,1
"I noticed my laptop can't find networks, and The laptop SD card not recognized. Please help.",0,0,0,0,0,1,0,0,0,0,1,0
I noticed my fitness tracker doesn't power up.,1,0,0,0,0,0,0,0,0,0,0,0
Earbuds has been stuck in bootloop lately and it's getting worse every day. Please help.,0,0,0,0,0,0,0,0,0,1,0,0
E-scooter SD card not recognized.,0,0,0,0,0,0,0,0,0,0,1,0
"The hard drive gets very hot, and The hard drive remote buttons don't work.",0,0,0,0,1,0,0,0,1,0,0,0
Thermostat has been battery indicator incorrect lately right after I plugged it in.,0,1,0,0,0,0,0,0,0,0,0,0
"My TV microphone not working, and Tv has been no cellular signal lately. I need this fixed.",0,0,0,1,0,1,0,0,0,0,0,0
My smartwatch dead pixels and I tried restarting.,0,0,1,0,0,0,0,0,0,0,0,0
The smartwatch fails to start.,1,0,0,0,0,0,0,0,0,0,0,0
"Phone has been got wet and stopped working lately, and The phone display shows lines.",0,0,1,0,0,0,1,0,0,0,0,0
I noticed my gaming console no lights but charger connected.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my drone motion sensor false triggers.,0,0,0,0,0,0,0,0,0,0,0,1
"Smartwatch liquid damage, and Smartwatch has been microphone not working lately.",0,0,0,1,0,0,1,0,0,0,0,0
My monitor fan runs loud constantly.,0,0,0,0,1,0,0,0,0,0,0,0
Gaming console makes clicking noise after it fell. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
Earbuds thermal throttling during use. Please help.,0,0,0,0,1,0,0,0,0,0,0,0
Printer has been firmware update failed lately.,0,0,0,0,0,0,0,0,0,1,0,0
"My drone double-press issue, and I noticed my drone heart rate incorrect.",0,0,0,0,0,0,0,0,1,0,0,1
The laptop loud grinding noise.,0,0,0,1,0,0,0,0,0,0,0,0
"I noticed my fitness tracker blue screen, and The fitness tracker battery drains quickly.",0,1,0,0,0,0,0,0,0,1,0,0
Tv double-press issue.,0,0,0,0,0,0,0,0,1,0,0,0
I noticed my drone echo and static since yesterday.,0,0,0,1,0,0,0,0,0,0,0,0
Tv no sound and I tried restarting.,0,0,0,1,0,0,0,0,0,0,0,0
Earbuds gives wrong readings.,0,0,0,0,0,0,0,0,0,0,0,1
The fitness tracker display shows lines since yesterday.,0,0,1,0,0,0,0,0,0,0,0,0
"E-scooter has been motor not spinning lately, and E-scooter loses signal. I need this fixed. Please help.",0,0,0,0,0,1,0,1,0,0,0,0
Speaker has been no cellular signal lately.,0,0,0,0,0,1,0,0,0,0,0,0
Monitor has been screen is black lately after a recent update.,0,0,1,0,0,0,0,0,0,0,0,0
"The camera network drops, and The camera fails to charge.",0,1,0,0,0,1,0,0,0,0,0,0
"Laptop display has color tint, and My laptop remote buttons don't work.",0,0,1,0,0,0,0,0,1,0,0,0
I noticed my washing machine speaker muffled after water.,0,0,0,0,0,0,1,0,0,0,0,0
Vacuum has been app crashes lately after a recent update.,0,0,0,0,0,0,0,0,0,1,0,0
My monitor storage full unexpectedly. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
"Drone has been power LED is on but device is dead lately, and Drone speaker crackles. I need this fixed.",1,0,0,1,0,0,0,0,0,0,0,0
"The smartwatch keys are sticky, and Smartwatch has been motor buzzing lately.",0,0,0,0,0,0,0,1,1,0,0,0
"The speaker dead pixels, and Speaker can't find networks. I need this fixed.",0,0,1,0,0,1,0,0,0,0,0,0
"The phone battery indicator incorrect, and The phone heart rate incorrect. I need this fixed.",0,1,0,0,0,0,0,0,0,0,0,1
I noticed my gaming console remote buttons don't work after a recent update.,0,0,0,0,0,0,0,0,1,0,0,0
"Fitness tracker has been makes clicking noise lately, and The fitness tracker trackpad stops working.",0,0,0,1,0,0,0,0,1,0,0,0
"I noticed my hard drive drum won't rotate, and Hard drive has been gives wrong readings lately. I need this fixed. Please help.",0,0,0,0,0,0,0,1,0,0,0,1
Earbuds battery drains quickly and I tried restarting.,0,1,0,0,0,0,0,0,0,0,0,0
Router has been network drops lately.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my gaming console battery drains quickly right after I plugged it in.,0,1,0,0,0,0,0,0,0,0,0,0
Router shuts down due to heat while charging.,0,0,0,0,1,0,0,0,0,0,0,0
Laptop screen ghost touches.,0,0,1,0,0,0,0,0,0,0,0,0
Fitness tracker data disappeared.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my smartwatch battery indicator incorrect after a recent update. Please help.,0,1,0,0,0,0,0,0,0,0,0,0
The phone won't boot while charging.,1,0,0,0,0,0,0,0,0,0,0,0
"E-scooter hard drive not detected, and My e-scooter dropped in water. Please help.",0,0,0,0,0,0,1,0,0,0,1,0
"The monitor data disappeared, and I noticed my monitor image is blurry. I need this fixed.",0,0,1,0,0,0,0,0,0,0,1,0
"The tablet no internet connection, and My tablet touchscreen not responding.",0,0,1,0,0,1,0,0,0,0,0,0
"I noticed my earbuds overheats, and Earbuds gives wrong readings. Please help.",0,0,0,0,1,0,0,0,0,0,0,1
The tablet screen fogged after water and it's getting worse every day.,0,0,0,0,0,0,1,0,0,0,0,0
"Tv screen fogged after water, and I noticed my TV can't find networks.",0,0,0,0,0,1,1,0,0,0,0,0
Laptop sensor not accurate.,0,0,0,0,0,0,0,0,0,0,0,1
My router gets very hot right after I plugged it in.,0,0,0,0,1,0,0,0,0,0,0,0
"I noticed my drone trackpad stops working, and The drone won't charge.",0,1,0,0,0,0,0,0,1,0,0,0
I noticed my router screen fogged after water and I tried restarting.,0,0,0,0,0,0,1,0,0,0,0,0
Speaker has been has no power lately.,1,0,0,0,0,0,0,0,0,0,0,0
"Washing machine motor not spinning, and I noticed my washing machine double-press issue.",0,0,0,0,0,0,0,1,1,0,0,0
"The router image is blurry, and The router mechanical grinding noise. I need this fixed.",0,0,1,0,0,0,0,1,0,0,0,0
Gaming console gets very hot.,0,0,0,0,1,0,0,0,0,0,0,0
"Tablet remote buttons don't work, and My tablet OS won't load.",0,0,0,0,0,0,0,0,1,1,0,0
I noticed my tablet joystick drifts.,0,0,0,0,0,0,0,0,1,0,0,0
"Smartwatch got wet and stopped working, and Smartwatch has been makes clicking noise lately.",0,0,0,1,0,0,1,0,0,0,0,0
I noticed my tablet data disappeared while charging.,0,0,0,0,0,0,0,0,0,0,1,0
Phone has been overheats lately.,0,0,0,0,1,0,0,0,0,0,0,0
Vacuum Bluetooth won't pair.,0,0,0,0,0,1,0,0,0,0,0,0
E-scooter hard drive not detected.,0,0,0,0,0,0,0,0,0,0,1,0
"Router has been OS won't load lately, and Router has been battery died in minutes lately. I need this fixed.",0,1,0,0,0,0,0,0,0,1,0,0
"My earbuds mechanical grinding noise, and Earbuds has been display shows lines lately.",0,0,1,0,0,0,0,1,0,0,0,0
Printer roller jammed.,0,0,0,0,0,0,0,1,0,0,0,0
Printer microphone not working and it's getting worse every day.,0,0,0,1,0,0,0,0,0,0,0,0
I noticed my gaming console loud grinding noise after it fell.,0,0,0,1,0,0,0,0,0,0,0,0
Monitor has been motor buzzing lately after a recent update.,0,0,0,0,0,0,0,1,0,0,0,0
"I noticed my camera shuts down due to heat, and Camera has been no sound lately.",0,0,0,1,1,0,0,0,0,0,0,0
The printer echo and static after it fell.,0,0,0,1,0,0,0,0,0,0,0,0
"Drone buttons not registering, and Drone has been shuts off randomly lately. I need this fixed.",1,0,0,0,0,0,0,0,1,0,0,0
Camera app crashes.,0,0,0,0,0,0,0,0,0,1,0,0
"Earbuds buttons not registering, and My earbuds sensor not accurate. I need this fixed.",0,0,0,0,0,0,0,0,1,0,0,1
"My thermostat sensor not accurate, and The thermostat buttons not registering.",0,0,0,0,0,0,0,0,1,0,0,1
I noticed my thermostat can't find networks.,0,0,0,0,0,1,0,0,0,0,0,0
"Laptop has been battery drains quickly lately, and Laptop dropped in water. I need this fixed.",0,1,0,0,0,0,1,0,0,0,0,0
Fitness tracker files corrupted since yesterday. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
The e-scooter drum won't rotate and it's getting worse every day. Please help.,0,0,0,0,0,0,0,1,0,0,0,0
"The TV data disappeared, and My TV battery drains quickly. I need this fixed. Please help.",0,1,0,0,0,0,0,0,0,0,1,0
Hard drive won't hold charge since yesterday.,0,1,0,0,0,0,0,0,0,0,0,0
Earbuds distorted audio.,0,0,0,1,0,0,0,0,0,0,0,0
Phone double-press issue right after I plugged it in.,0,0,0,0,0,0,0,0,1,0,0,0
Phone power LED is on but device is dead after it fell.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my laptop hard drive not detected while charging. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
My earbuds no internet connection since yesterday.,0,0,0,0,0,1,0,0,0,0,0,0
The drone keys are sticky.,0,0,0,0,0,0,0,0,1,0,0,0
The earbuds trackpad stops working and I tried restarting.,0,0,0,0,0,0,0,0,1,0,0,0
"Camera drum won't rotate, and Camera files corrupted.",0,0,0,0,0,0,0,1,0,0,1,0
"I noticed my camera won't turn on, and I noticed my camera thermal throttling during use.",1,0,0,0,1,0,0,0,0,0,0,0
The gaming console won't spin and it's getting worse every day.,0,0,0,0,0,0,0,1,0,0,0,0
Speaker has been trackpad stops working lately.,0,0,0,0,0,0,0,0,1,0,0,0
Washing machine microphone not working while charging. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
My washing machine fails to start while charging. Please help.,1,0,0,0,0,0,0,0,0,0,0,0
"I noticed my fitness tracker propeller is stuck, and I noticed my fitness tracker can't save files.",0,0,0,0,0,0,0,1,0,0,1,0
"The tablet keys are sticky, and The tablet files corrupted. I need this fixed.",0,0,0,0,0,0,0,0,1,0,1,0
Smartwatch can't find networks. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my smartwatch display has color tint after it fell.,0,0,1,0,0,0,0,0,0,0,0,0
Phone image is blurry.,0,0,1,0,0,0,0,0,0,0,0,0
My thermostat has no power.,1,0,0,0,0,0,0,0,0,0,0,0
"The monitor audio cuts out, and I noticed my monitor touch input fails. I need this fixed.",0,0,0,1,0,0,0,0,1,0,0,0
I noticed my laptop heart rate incorrect right after I plugged it in.,0,0,0,0,0,0,0,0,0,0,0,1
My laptop firmware update failed right after I plugged it in.,0,0,0,0,0,0,0,0,0,1,0,0
"I noticed my washing machine fails to charge, and The washing machine microphone not working. I need this fixed.",0,1,0,1,0,0,0,0,0,0,0,0
"E-scooter device smokes, and I noticed my e-scooter makes clicking noise.",0,0,0,1,1,0,0,0,0,0,0,0
My router battery died in minutes.,0,1,0,0,0,0,0,0,0,0,0,0
My washing machine data disappeared.,0,0,0,0,0,0,0,0,0,0,1,0
E-scooter has been storage full unexpectedly lately while charging.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my printer fan runs loud constantly while charging.,0,0,0,0,1,0,0,0,0,0,0,0
"I noticed my drone error code on startup, and My drone won't turn on. I need this fixed.",1,0,0,0,0,0,0,0,0,1,0,0
The monitor keys are sticky.,0,0,0,0,0,0,0,0,1,0,0,0
Monitor thermal throttling during use since yesterday.,0,0,0,0,1,0,0,0,0,0,0,0
My earbuds won't charge.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my camera won't charge.,0,1,0,0,0,0,0,0,0,0,0,0
The camera battery overheating while charging.,0,0,0,0,1,0,0,0,0,0,0,0
My router no cellular signal after it fell.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my earbuds files corrupted after a recent update.,0,0,0,0,0,0,0,0,0,0,1,0
"My smartwatch software freezes, and I noticed my smartwatch touch input fails.",0,0,0,0,0,0,0,0,1,1,0,0
The gaming console double-press issue.,0,0,0,0,0,0,0,0,1,0,0,0
I noticed my TV motor not spinning.,0,0,0,0,0,0,0,1,0,0,0,0
E-scooter has been mechanical grinding noise lately. Please help.,0,0,0,0,0,0,0,1,0,0,0,0
"I noticed my e-scooter gets very hot, and I noticed my e-scooter GPS wrong location. I need this fixed. Please help.",0,0,0,0,1,0,0,0,0,0,0,1
I noticed my phone proximity sensor fails after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
Fitness tracker Bluetooth won't pair right after I plugged it in. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
"My TV mechanical grinding noise, and My TV loses signal.",0,0,0,0,0,1,0,1,0,0,0,0
My laptop screen is black. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
Drone has been dropped in water lately.,0,0,0,0,0,0,1,0,0,0,0,0
I noticed my gaming console speaker muffled after water.,0,0,0,0,0,0,1,0,0,0,0,0
My camera motion sensor false triggers.,0,0,0,0,0,0,0,0,0,0,0,1
"The tablet got wet and stopped working, and My tablet display shows lines.",0,0,1,0,0,0,1,0,0,0,0,0
"My drone shuts down due to heat, and My drone motor not spinning. Please help.",0,0,0,0,1,0,0,1,0,0,0,0
E-scooter has been blue screen lately and it's getting worse every day.,0,0,0,0,0,0,0,0,0,1,0,0
Fitness tracker has been OS won't load lately and I tried restarting.,0,0,0,0,0,0,0,0,0,1,0,0
Printer sensor not accurate.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my hard drive won't spin.,0,0,0,0,0,0,0,1,0,0,0,0
I noticed my hard drive no sound.,0,0,0,1,0,0,0,0,0,0,0,0
"The vacuum won't turn on, and My vacuum image is blurry.",1,0,1,0,0,0,0,0,0,0,0,0
"Laptop has been disk making clicking noises lately, and Laptop has been audio cuts out lately. I need this fixed. Please help.",0,0,0,1,0,0,0,0,0,0,1,0
I noticed my gaming console won't boot.,1,0,0,0,0,0,0,0,0,0,0,0
Drone has been battery swelled lately.,0,1,0,0,0,0,0,0,0,0,0,0
"Laptop won't charge, and The laptop won't spin.",0,1,0,0,0,0,0,1,0,0,0,0
I noticed my camera no lights but charger connected since yesterday.,1,0,0,0,0,0,0,0,0,0,0,0
"My smartwatch firmware update failed, and Smartwatch shuts off randomly. I need this fixed.",1,0,0,0,0,0,0,0,0,1,0,0
"My hard drive fan runs loud constantly, and Hard drive has been motor not spinning lately. I need this fixed.",0,0,0,0,1,0,0,1,0,0,0,0
"My gaming console temperature sensor off, and My gaming console can't find networks.",0,0,0,0,0,1,0,0,0,0,0,1
"I noticed my router thermal throttling during use, and I noticed my router screen is black.",0,0,1,0,1,0,0,0,0,0,0,0
Gaming console has been joystick drifts lately.,0,0,0,0,0,0,0,0,1,0,0,0
The earbuds overheats.,0,0,0,0,1,0,0,0,0,0,0,0
Fitness tracker battery indicator incorrect.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my washing machine liquid damage.,0,0,0,0,0,0,1,0,0,0,0,0
Washing machine has been storage full unexpectedly lately. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
"Vacuum propeller is stuck, and Vacuum screen is black.",0,0,1,0,0,0,0,1,0,0,0,0
Smartwatch shuts off randomly after it fell.,1,0,0,0,0,0,0,0,0,0,0,0
My laptop image is blurry.,0,0,1,0,0,0,0,0,0,0,0,0
The hard drive app crashes and I tried restarting.,0,0,0,0,0,0,0,0,0,1,0,0
"The e-scooter loses signal, and The e-scooter fails to charge.",0,1,0,0,0,1,0,0,0,0,0,0
I noticed my tablet double-press issue after it fell.,0,0,0,0,0,0,0,0,1,0,0,0
The TV liquid damage right after I plugged it in.,0,0,0,0,0,0,1,0,0,0,0,0
Vacuum got wet and stopped working after it fell.,0,0,0,0,0,0,1,0,0,0,0,0
"Printer has been dead pixels lately, and I noticed my printer no cellular signal.",0,0,1,0,0,1,0,0,0,0,0,0
I noticed my laptop motor not spinning. Please help.,0,0,0,0,0,0,0,1,0,0,0,0
Smartwatch no internet connection.,0,0,0,0,0,1,0,0,0,0,0,0
"The e-scooter hard drive not detected, and E-scooter has been temperature sensor off lately. Please help.",0,0,0,0,0,0,0,0,0,0,1,1
My drone fan runs loud constantly.,0,0,0,0,1,0,0,0,0,0,0,0
Earbuds has been battery died in minutes lately after a recent update.,0,1,0,0,0,0,0,0,0,0,0,0
Camera thermal throttling during use.,0,0,0,0,1,0,0,0,0,0,0,0
"I noticed my smartwatch network drops, and My smartwatch gets very hot. I need this fixed.",0,0,0,0,1,1,0,0,0,0,0,0
Camera has been sensor not accurate lately and it's getting worse every day.,0,0,0,0,0,0,0,0,0,0,0,1
My thermostat disk making clicking noises since yesterday.,0,0,0,0,0,0,0,0,0,0,1,0
"I noticed my fitness tracker screen ghost touches, and The fitness tracker mechanical grinding noise.",0,0,1,0,0,0,0,1,0,0,0,0
I noticed my drone battery died in minutes right after I plugged it in.,0,1,0,0,0,0,0,0,0,0,0,0
The thermostat won't boot.,1,0,0,0,0,0,0,0,0,0,0,0
My vacuum temperature sensor off. Please help.,0,0,0,0,0,0,0,0,0,0,0,1
"I noticed my tablet corroded port after spill, and Tablet battery swelled. Please help.",0,1,0,0,0,0,1,0,0,0,0,0
Laptop got wet and stopped working since yesterday.,0,0,0,0,0,0,1,0,0,0,0,0
"I noticed my e-scooter won't spin, and My e-scooter stuck in bootloop. I need this fixed.",0,0,0,0,0,0,0,1,0,1,0,0
"My vacuum screen ghost touches, and Vacuum gets very hot.",0,0,1,0,1,0,0,0,0,0,0,0
The washing machine gets very hot.,0,0,0,0,1,0,0,0,0,0,0,0
"I noticed my gaming console screen is flickering, and Gaming console has been got wet and stopped working lately.",0,0,1,0,0,0,1,0,0,0,0,0
Router has been SD card not recognized lately after it fell.,0,0,0,0,0,0,0,0,0,0,1,0
Vacuum has been won't spin lately and it's getting worse every day.,0,0,0,0,0,0,0,1,0,0,0,0
My phone screen ghost touches since yesterday. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
"The monitor overheats, and Monitor won't turn on.",1,0,0,0,1,0,0,0,0,0,0,0
Speaker has been motion sensor false triggers lately.,0,0,0,0,0,0,0,0,0,0,0,1
"I noticed my laptop no internet connection, and My laptop app crashes.",0,0,0,0,0,1,0,0,0,1,0,0
"Phone disk making clicking noises, and My phone screen fogged after water.",0,0,0,0,0,0,1,0,0,0,1,0
"Washing machine stuck in bootloop, and I noticed my washing machine can't find networks. I need this fixed.",0,0,0,0,0,1,0,0,0,1,0,0
"I noticed my router sensor not accurate, and I noticed my router SD card not recognized.",0,0,0,0,0,0,0,0,0,0,1,1
"The gaming console error code on startup, and Gaming console won't charge.",0,1,0,0,0,0,0,0,0,1,0,0
The smartwatch won't turn on while charging.,1,0,0,0,0,0,0,0,0,0,0,0
My tablet joystick drifts after it fell.,0,0,0,0,0,0,0,0,1,0,0,0
The camera roller jammed.,0,0,0,0,0,0,0,1,0,0,0,0
Gaming console distorted audio.,0,0,0,1,0,0,0,0,0,0,0,0
Tv has been stuck in bootloop lately.,0,0,0,0,0,0,0,0,0,1,0,0
My tablet won't hold charge and I tried restarting. Please help.,0,1,0,0,0,0,0,0,0,0,0,0
Tv has been heart rate incorrect lately after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
The e-scooter files corrupted.,0,0,0,0,0,0,0,0,0,0,1,0
Laptop firmware update failed right after I plugged it in.,0,0,0,0,0,0,0,0,0,1,0,0
"My vacuum propeller is stuck, and I noticed my vacuum loud grinding noise.",0,0,0,1,0,0,0,1,0,0,0,0
The router battery died in minutes.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my monitor roller jammed while charging.,0,0,0,0,0,0,0,1,0,0,0,0
I noticed my router remote buttons don't work.,0,0,0,0,0,0,0,0,1,0,0,0
"Washing machine has been double-press issue lately, and My washing machine disk making clicking noises.",0,0,0,0,0,0,0,0,1,0,1,0
"My router battery died in minutes, and Router files corrupted. I need this fixed.",0,1,0,0,0,0,0,0,0,0,1,0
Fitness tracker has been dead pixels lately.,0,0,1,0,0,0,0,0,0,0,0,0
Hard drive has been won't charge lately and I tried restarting.,0,1,0,0,0,0,0,0,0,0,0,0
The smartwatch touch input fails after a recent update.,0,0,0,0,0,0,0,0,1,0,0,0
My drone screen ghost touches after it fell.,0,0,1,0,0,0,0,0,0,0,0,0
Vacuum has been fails to charge lately. Please help.,0,1,0,0,0,0,0,0,0,0,0,0
The washing machine network drops.,0,0,0,0,0,1,0,0,0,0,0,0
"Tablet has been software freezes lately, and My tablet no internet connection.",0,0,0,0,0,1,0,0,0,1,0,0
"Router has been error code on startup lately, and Router won't charge. I need this fixed. Please help.",0,1,0,0,0,0,0,0,0,1,0,0
"My earbuds echo and static, and I noticed my earbuds gives wrong readings.",0,0,0,1,0,0,0,0,0,0,0,1
I noticed my vacuum joystick drifts. Please help.,0,0,0,0,0,0,0,0,1,0,0,0
Vacuum has been can't save files lately.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my washing machine thermal throttling during use.,0,0,0,0,1,0,0,0,0,0,0,0
The drone shuts down due to heat and I tried restarting. Please help.,0,0,0,0,1,0,0,0,0,0,0,0
"I noticed my printer mechanical grinding noise, and I noticed my printer blue screen. I need this fixed.",0,0,0,0,0,0,0,1,0,1,0,0
The hard drive drum won't rotate after a recent update.,0,0,0,0,0,0,0,1,0,0,0,0
I noticed my camera won't boot. Please help.,1,0,0,0,0,0,0,0,0,0,0,0
"Earbuds has been files corrupted lately, and My earbuds Wi-Fi disconnects. I need this fixed.",0,0,0,0,0,1,0,0,0,0,1,0
The earbuds disk making clicking noises.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my router won't hold charge while charging.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my fitness tracker makes clicking noise.,0,0,0,1,0,0,0,0,0,0,0,0
"Laptop no internet connection, and I noticed my laptop drum won't rotate.",0,0,0,0,0,1,0,1,0,0,0,0
"My e-scooter drum won't rotate, and My e-scooter storage full unexpectedly.",0,0,0,0,0,0,0,1,0,0,1,0
"Washing machine dropped in water, and Washing machine has been power LED is on but device is dead lately.",1,0,0,0,0,0,1,0,0,0,0,0
Printer Bluetooth won't pair.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my earbuds sensor not accurate after it fell. Please help.,0,0,0,0,0,0,0,0,0,0,0,1
"I noticed my washing machine has no power, and The washing machine no internet connection.",1,0,0,0,0,1,0,0,0,0,0,0
Earbuds heart rate incorrect after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
The earbuds double-press issue after a recent update.,0,0,0,0,0,0,0,0,1,0,0,0
Thermostat has been power LED is on but device is dead lately. Please help.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my tablet storage full unexpectedly while charging. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
My earbuds no lights but charger connected while charging.,1,0,0,0,0,0,0,0,0,0,0,0
"I noticed my camera power LED is on but device is dead, and The camera heart rate incorrect.",1,0,0,0,0,0,0,0,0,0,0,1
"My laptop app crashes, and Laptop gets very hot.",0,0,0,0,1,0,0,0,0,1,0,0
"My earbuds no lights but charger connected, and Earbuds heart rate incorrect.",1,0,0,0,0,0,0,0,0,0,0,1
The camera no internet connection while charging. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
"Smartwatch speaker crackles, and My smartwatch no internet connection. Please help.",0,0,0,1,0,1,0,0,0,0,0,0
"Tablet fan runs loud constantly, and Tablet motor buzzing.",0,0,0,0,1,0,0,1,0,0,0,0
